Nr.,Project code,Isolate,Tube ID 2D,Well,Plate No. (Micronic) 1D,Taxon,Country,Locality,Collector & No.,Herbarium No.,Isolation date & place,Bearbeiter,DNA ng/μl,,comments,,trnL-F,rpl16,trnK/matK,ITS 1&2,NGS,GBoL5 Plate No.,Freezer,Shelf,Tray,Tray Position
GBoL4225,GBoL5,DB 12422,A1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4226,GBoL5,DB 12484,B1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4227,GBoL5,DB 12487,C1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4228,GBoL5,DB 12494,D1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4229,GBoL5,DB 12495,E1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4230,GBoL5,DB 12499,F1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4231,GBoL5,DB 12508,G1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4232,GBoL5,DB 12517,H1,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4233,GBoL5,DB 12520,A2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4234,GBoL5,DB 12531,B2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4235,GBoL5,DB 12536,C2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4236,GBoL5,DB 12543,D2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4237,GBoL5,DB 12550,E2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4238,GBoL5,DB 12553,F2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4239,GBoL5,DB 12557,G2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4240,GBoL5,DB 12558,H2,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4241,GBoL5,DB 12564,A3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4242,GBoL5,DB 12575,B3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4243,GBoL5,DB 12583,C3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4244,GBoL5,DB 12602,D3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4245,GBoL5,DB 12613,E3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4246,GBoL5,DB 12614,F3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4247,GBoL5,DB 12616,G3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4248,GBoL5,DB 12625,H3,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4249,GBoL5,DB 12628,A4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4250,GBoL5,DB 12642,B4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4251,GBoL5,DB 12647,C4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4252,GBoL5,DB 12648,D4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4253,GBoL5,DB 12667,E4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4254,GBoL5,DB 12687,F4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4255,GBoL5,DB 12696,G4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4256,GBoL5,DB 12702,H4,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4257,GBoL5,DB 12703,A5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4258,GBoL5,DB 12707,B5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4259,GBoL5,DB 12708,C5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4260,GBoL5,DB 12710,D5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4261,GBoL5,DB 12712,E5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4262,GBoL5,DB 12750,F5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4263,GBoL5,DB 12751,G5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4264,GBoL5,DB 12769,H5,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4265,GBoL5,DB 12772,A6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4266,GBoL5,DB 12775,B6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4267,GBoL5,DB 12787,C6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4268,GBoL5,DB 12795,D6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4269,GBoL5,DB 12802,E6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4270,GBoL5,DB 12850,F6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4271,GBoL5,DB 12871,G6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4272,GBoL5,DB 12887,H6,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4273,GBoL5,DB 12909,A7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4274,GBoL5,DB 12910,B7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4275,GBoL5,DB 12913,C7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4276,GBoL5,DB 12943,D7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4277,GBoL5,DB 13027,E7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4278,GBoL5,DB 13041,F7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4279,GBoL5,DB 13046,G7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4280,GBoL5,DB 13049,H7,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4281,GBoL5,DB 13057,A8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4282,GBoL5,DB 13060,B8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4283,GBoL5,DB 13062,C8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4284,GBoL5,DB 13072,D8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4285,GBoL5,DB 13115,E8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4286,GBoL5,DB 12621,F8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4287,GBoL5,DB 12622,G8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4288,GBoL5,DB 12631,H8,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4289,GBoL5,DB 12685,A9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4290,GBoL5,DB 12717,B9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4291,GBoL5,DB 12723,C9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4292,GBoL5,DB 12732,D9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4293,GBoL5,DB 12760,E9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4294,GBoL5,DB 12777,F9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4295,GBoL5,DB 12782,G9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4296,GBoL5,DB 12799,H9,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4297,GBoL5,DB 12800,A10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4298,GBoL5,DB 12812,B10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4299,GBoL5,DB 12818,C10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4300,GBoL5,DB 12824,D10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4301,GBoL5,DB 12842,E10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4302,GBoL5,DB 12864,F10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4303,GBoL5,DB 12905,G10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4304,GBoL5,DB 12939,H10,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4305,GBoL5,DB 12954,A11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4306,GBoL5,DB 12995,B11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4307,GBoL5,DB 12501,C11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4308,GBoL5,DB 12503,D11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4309,GBoL5,DB 12563,E11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4310,GBoL5,DB 12640,F11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4311,GBoL5,DB 12728,G11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4312,GBoL5,DB 12747,H11,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4313,GBoL5,DB 12822,A12,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4314,GBoL5,DB 13013,B12,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4315,GBoL5,DB 13071,C12,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4316,GBoL5,DB 13082,D12,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4317,GBoL5,DB 13088,E12,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4318,GBoL5,DB 12609,F12,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4319,GBoL5,DB 12837,G12,,,reserved for Berlin,,,,,,,,,,,,,,,,,,,,
GBoL4320,GBoL5,,,,,Plate 45 control ,,,,,,,,,,,,,,,,,,,,
