Taxon,Rank,#Specimen,#Isolates,#Reads,#Contigs,#MS
Abietinella abietina,Is species,4,4,2,1,1
Acaulon casasianum,Is species,1,1,2,1,1
Acaulon muticum,Is species,2,2,4,2,
Acaulon triquetrum,Is species,1,1,2,1,1
Achillea atrata,Is species,2,2,3,2,2
Achillea collina,Is species,3,3,6,3,2
Achillea macrophylla,Is species,1,1,2,1,1
Achillea millefolium millefolium,Is subspecies,3,3,2,1,
Achillea nobilis nobilis,Is subspecies,3,3,6,3,1
Achillea pratensis,Is species,1,1,,,
Achillea ptarmica,Is species,5,5,6,3,1
Achillea setacea,Is species,1,1,,,
Achnatherum calamagrostis,Is species,1,1,2,1,1
Acinos alpinus alpinus,Is subspecies,1,1,,,
Acinos arvensis,Is species,3,3,2,1,1
Aconitum lycoctonum,Is species,1,1,,,
Aconitum variegatum,Is species,1,1,,,
Actaea spicata,Is species,1,1,,,
Adenophora liliifolia,Is species,1,1,2,1,1
Adenostyles alliariae alliariae,Is subspecies,2,2,2,2,1
Adenostyles alpina alpina,Is subspecies,1,1,2,1,1
Adonis aestivalis aestivalis,Is subspecies,2,2,,,
Adonis vernalis,Is species,1,1,,,
Adoxa moschatellina,Is species,1,1,2,1,1
Aethionema saxatile saxatile,Is subspecies,1,1,,,
Agrimonia eupatoria eupatoria,Is subspecies,5,5,3,2,
Agrimonia procera,Is species,4,4,6,3,1
Agrostemma githago,Is species,1,,,,
Agrostis canina,Is species,3,3,4,2,2
Agrostis capillaris,Is species,6,5,10,5,5
Agrostis gigantea,Is species,4,4,8,4,4
Agrostis gigantea gigantea,Is subspecies,1,1,2,1,1
Agrostis rupestris,Is species,1,1,2,1,1
Agrostis scabra,Is species,2,2,4,2,1
Agrostis stolonifera,Is species,4,4,6,3,3
Agrostis stolonifera stolonifera,Is subspecies,1,1,2,1,1
Agrostis vinealis,Is species,4,4,6,3,
Aira caryophyllea,Is species,1,1,,,
Aira caryophyllea caryophyllea,Is subspecies,2,2,4,2,2
Aira praecox,Is species,5,5,7,4,4
Ajuga chamaepitys chamaepitys,Is subspecies,1,1,,,
Ajuga genevensis,Is species,3,3,2,1,1
Ajuga pyramidalis,Is species,1,1,2,1,1
Ajuga reptans,Is species,5,4,6,3,2
Alisma lanceolatum,Is species,1,1,2,1,1
Alleniella besseri,Is species,1,1,2,1,1
Alleniella complanata,Is species,1,1,2,1,1
Alliaria petiolata,Is species,2,2,2,1,1
Allium angulosum,Is species,1,1,2,1,1
Allium carinatum s.str.,Is species,1,1,2,1,1
Allium paradoxum,Is species,1,1,2,1,1
Allium schoenoprasum schoenoprasum,Is subspecies,1,1,2,1,1
Allium ursinum,Is species,1,1,,,
Allium vineale,Is species,1,1,2,1,1
Alnus alnobetula alnobetula,Is subspecies,1,1,2,1,
Alnus glutinosa,Is species,2,2,1,1,1
Alnus incana incana,Is subspecies,3,2,2,1,
Aloina aloides,Is species,2,2,4,2,2
Aloina ambigua,Is species,1,1,2,1,1
Aloina brevirostris,Is species,1,1,2,1,
Aloina rigida,Is species,3,3,6,3,
Alopecurus aequalis,Is species,5,5,8,4,3
Alopecurus bulbosus,Is species,1,1,2,1,1
Alopecurus exserens arundinaceus,Is subspecies,1,1,2,1,1
Alopecurus geniculatus,Is species,6,6,10,5,5
Alopecurus myosuroides,Is species,4,4,6,3,3
Alopecurus pratensis pratensis,Is subspecies,8,8,16,8,1
Alopecurus rendlei,Is species,1,1,2,1,
