Isolate,Original label,trnK-matK - Proposed label,trnK-matK - Confidence,rpl16 - Proposed label,rpl16 - Confidence,trnLF - Proposed label,trnLF - Confidence,ITS - Proposed label,ITS - Confidence
GBoL2631,Homomallium incurvatum,"","","","","","","",""
GBoL3476,Phyteuma spicatum,"","","","","","","",""
GBoL3482,Crepis pyrenaica,"","","","","","","",""
GBoL3537,Frangula alnus alnus,"","","","","","","",""
GBoL3517,Centaurea scabiosa,"","","","","","","",""
GBoL3522,Silene latifolia,"","","","",Silene dioica,0.822,"",""
GBoL3459,Suaeda maritima maritima,"","","","","","","",""
GBoL3616,Polycnemum majus,"","","","","","","",""
GBoL3569,Anthemis austriaca,"","","","","","","",""
GBoL3554,Potentilla aurea aurea,"","","","","","","",""
GBoL3606,Dysphania pumilio,"","","","","","","",""
GBoL3613,Petasites albus,"","","","","","","",""
GBoL3619,Amaranthus powellii,"","","","","","","",""
GBoL3626,Filago minima,"","","","","","","",""
GBoL3636,Silene baccifera,"","","","","","","",""
GBoL3739,Poa trivialis trivialis,"","","","","","","",""
GBoL3662,Glyceria maxima maxima,"","","","","","","",""
GBoL3703,Alopecurus geniculatus,"","","","","","","",""
GBoL3701,Aira praecox,"","","","","","","",""
GBoL2691,Lunularia cruciata,"","","","","","","",""
GBoL2694,Marchantia polymorpha polymorpha,"","","","","","","",""
GBoL2696,Reboulia hemisphaerica,"","","","","","","",""
GBoL2724,Cololejeunea rossettiana,"","","","","","","",""
GBoL2819,Tetraphis pellucida,"","","","","","","",""
GBoL2731,Ptilidium pulcherrimum,"","","","","","","",""
GBoL2748,Geocalyx graveolens,"","","","","","","",""
GBoL2759,Leiocolea bantriensis,"","","","","","","",""
GBoL2770,Lepidozia reptans,"","","","","","","",""
GBoL2776,Pedinophyllum interruptum,"","","","","","","",""
GBoL2834,Polytrichum piliferum,"","","","","","","",""
GBoL2846,Grimmia montana,"","","","","","","",""
GBoL3596,Galinsoga quadriradiata,"","","","","","","",""
GBoL3707,Koeleria pyramidata,"","","","","","","",""
GBoL2593,Rhynchostegium megapolitanum,"","","","","","","",""
GBoL2630,Herzogiella seligeri,"","","","","","","",""
GBoL2641,Orthothecium intricatum,"","","","","","","",""
GBoL2649,Isothecium holtii,"","","","","","","",""
GBoL2658,Antitrichia curtipendula,"","","","","","","",""
GBoL2672,Thuidium recognitum,"","","","","","","",""
GBoL2682,Sciuro-hypnum flotowianum,"","","","","","","",""
GBoL2695,Preissia quadrata,"","","","","","","",""
