Collector's No,Collector(s),Tissue ID,DNA Sample ID,Order,Family,Genus
8849,"Hand,R.",B GT 0021181,DB 13898,Acorales,Acoraceae,Acorus calamus
RH 8869,"Hand,R., Dotzer-Schmidt,M. & Seitz,H.",B GT 0021201,DB 13911,Acorales,Acoraceae,Acorus calamus
FJW-2017-0040,F.-J. Weicherding,B GT 0021657,DB 30779,Acorales,Acoraceae,Acorus calamus
8008,"Hand,R.",B GT 0017892,DB 13066,Alismatales,Alismataceae,Alisma gramineum
RH 7816,"Hand,R., Berghofer,M. & Niederbichler,C.",B GT 0014833,DB 12897,Alismatales,Alismataceae,Alisma plantago-aquatica
36711,"Buttler,K.P.",B GT 0018481,DB 14200,Alismatales,Alismataceae,Alisma plantago-aquatica
FJW-2017-0034,F.-J. Weicherding,B GT 0021662,DB 15203,Alismatales,Alismataceae,Alisma plantago-aquatica
DS-2018-004,D. Schabelreiter,B GT 0024407,DB 15532,Alismatales,Alismataceae,Baldellia ranunculoides
,C. Ritz,B GT 0024257,DB 15658,Alismatales,Araceae,Arum cylindraceum
PC 133,"Ciongwa,P.",B GT 0017430,DB 13150,Alismatales,Araceae,Arum maculatum
AMB-GBOL2-59,"Barniske,A.-M.",B GT 0017678,DB 13344,Alismatales,Araceae,Arum maculatum
36422,"Buttler,K.P.",B GT 0018622,DB 14087,Alismatales,Araceae,Arum maculatum
2684,O. Appel,B GT 0024142,DB 15840,Alismatales,Araceae,Arum maculatum
8761,R. Hand 8761 & M. Berghofer,B GT 0021093,DB 15480,Alismatales,Araceae,Lemna minuta
RH 8876,"Hand,R., Dotzer-Schmidt,M. & Seitz,H.",B GT 0021208,DB 13914,Alismatales,Araceae,Lemna trisulca
NHG-20170903-91,"Höcker,R.",B GT 0021544,DB 14505,Alismatales,Araceae,Lemna trisulca
8536,"Hand,R.",B GT 0018860,DB 13719,Alismatales,Araceae,Spirodela polyrhiza
RH 8742,"Hand,R. & Berghofer,M.",B GT 0021074,DB 13836,Alismatales,Araceae,Spirodela polyrhiza
8845,"Hand,R.",B GT 0021177,DB 13896,Alismatales,Araceae,Spirodela polyrhiza
8579,"Hand,R.",B GT 0018903,DB 13746,Alismatales,Butomaceae,Butomus umbellatus
35871,"Buttler,K.P.",B GT 0018127,DB 14018,Alismatales,Hydrocharitaceae,Elodea canadensis
8744,"R. Hand 8744, M. Berghofer & C. Niederbichler",B GT 0021076,DB 29367,Alismatales,Hydrocharitaceae,Elodea canadensis
8799,R. Hand,B GT 0021131,DB 15481,Alismatales,Hydrocharitaceae,Elodea cf. nuttallii
8007,"Hand,R.",B GT 0017891,DB 13065,Alismatales,Hydrocharitaceae,Elodea nuttallii
8573,R. Hand,B GT 0018897,DB 29334,Alismatales,Hydrocharitaceae,Elodea nuttallii
8743,"R. Hand 8743, M. Berghofer & C. Niederbichler",B GT 0021075,DB 29366,Alismatales,Hydrocharitaceae,Elodea nuttallii
NHG-20170903-87,R. Höcker,B GT 0021540,DB 29497,Alismatales,Hydrocharitaceae,Elodea nuttallii
FJW-2017-0051,F.-J. Weicherding,B GT 0021698,DB 30788,Alismatales,Hydrocharitaceae,Elodea nuttallii
NHG-20170827-81,"Höcker,R.",B GT 0021534,DB 14501,Alismatales,Hydrocharitaceae,Hydrocharis morsus-ranae
,A. König,B GT 0024446,DB 15617,Alismatales,Hydrocharitaceae,Lagarosiphon major
8518,"Hand,R.",B GT 0018842,DB 13707,Alismatales,Hydrocharitaceae,Najas marina
RH 8745,"Hand,R., Berghofer,M. & Niederbichler,C.",B GT 0021077,DB 13837,Alismatales,Hydrocharitaceae,Najas marina
RH 8758,"Hand,R. & Berghofer,M.",B GT 0021090,DB 13842,Alismatales,Hydrocharitaceae,Najas marina
8898,R. Hand,B GT 0021230,DB 15495,Alismatales,Hydrocharitaceae,Najas marina
CN_20170922_2,C. Niederbichler,B GT 0021885,DB 30959,Alismatales,Hydrocharitaceae,Najas marina
CN_20170922_1,C. Niederbichler,B GT 0021886,DB 30958,Alismatales,Hydrocharitaceae,Najas marina
9189,R. Hand,B GT 0024243,DB 15823,Alismatales,Hydrocharitaceae,Najas marina
9175,R. Hand,B GT 0024772,DB 15144,Alismatales,Hydrocharitaceae,Najas minor
