Collector's No,Collector(s),Tissue ID,DNA Sample ID,Order,Family,Genus,Anmerkungen,GBOL ID
KPB 35986,"Buttler,K.P. & Diguet,A.",B GT 0018131,DB 14036,Caryophyllales,Amaranthaceae,Amaranthus albus,,
FJW-2017-0060,F.-J. Weicherding,B GT 0021628,DB 30797,Caryophyllales,Amaranthaceae,Amaranthus blitoides,,
DH-AMBL18-1,D. Hanselmann,B GT 0024247,DB 15796,Caryophyllales,Amaranthaceae,Amaranthus blitum,,
DH-AMBL18-2,D. Hanselmann,B GT 0024262,DB 15799,Caryophyllales,Amaranthaceae,Amaranthus blitum,,
RH 6941,"Hand,R. & Kartierexkursion",B GT 0017193,DB 12470,Caryophyllales,Amaranthaceae,Amaranthus emarginatus,,
7001,"Hand,R.",B GT 0017610,DB 12477,Caryophyllales,Amaranthaceae,Amaranthus emarginatus,,
8752,R. Hand 8752 & M. Berghofer,B GT 0021084,DB 29371,Caryophyllales,Amaranthaceae,Amaranthus emarginatus,,
8788,R. Hand,B GT 0021120,DB 29384,Caryophyllales,Amaranthaceae,Amaranthus emarginatus,,
8022,"Hand,R.",B GT 0017937,DB 13078,Caryophyllales,Amaranthaceae,Amaranthus powellii,,
KPB 35985,"Buttler,K.P. & Diguet,A.",B GT 0018130,DB 14035,Caryophyllales,Amaranthaceae,Amaranthus powellii,,
AMB-GBOL-13,"Barniske,A.-M.",B GT 0018216,DB 14317,Caryophyllales,Amaranthaceae,Amaranthus retroflexus,,
RH 8453,"Hand,R. & Dunkel,F.G.",B GT 0018777,DB 13666,Caryophyllales,Caryophyllaceae,Agrostemma githago,,
36559,K. P. Buttler,B GT 0017766,DB 14919,Caryophyllales,Caryophyllaceae,Arenaria leptoclados,,
WB-124,"Bleeker,W.",B GT 0018225,DB 14441,Caryophyllales,Caryophyllaceae,Arenaria serpyllifolia,,
NM2018/5,N. Meyer,B GT 0024645,DB 15263,Caryophyllales,Caryophyllaceae,Atocion armeria,,
8822,"Hand,R.",B GT 0021154,DB 13882,Caryophyllales,Caryophyllaceae,Atocion rupestre,,
20180932,G. Schepers,B GT 0024532,DB 15357,Caryophyllales,Caryophyllaceae,Atocion rupestre,,
7415,"Hand,R.",B GT 0017353,DB 12585,Caryophyllales,Caryophyllaceae,Cerastium arvense,,
14.05.16.07.,"Wörz,A.",B GT 0018300,DB 14220,Caryophyllales,Caryophyllaceae,Cerastium brachypetalum,,
2017-47,R. Mause,B GT 0021789,DB 15179,Caryophyllales,Caryophyllaceae,Cerastium brachypetalum,,
7368,R. Hand,B GT 0021616,DB 29233,Caryophyllales,Caryophyllaceae,Cerastium dubium,,
PC 213,"Ciongwa,P.",B GT 0021411,DB 14358,Caryophyllales,Caryophyllaceae,Cerastium glomeratum,,
2017-29,R. Mause,B GT 0021818,DB 15173,Caryophyllales,Caryophyllaceae,Cerastium glomeratum,,
2017-8,R. Mause,B GT 0021829,DB 15163,Caryophyllales,Caryophyllaceae,Cerastium glomeratum,,
2017-16,R. Mause,B GT 0021837,DB 15167,Caryophyllales,Caryophyllaceae,Cerastium glomeratum,,
2017-19,R. Mause,B GT 0021840,DB 15168,Caryophyllales,Caryophyllaceae,Cerastium glomeratum,,
PC 151,P. Ciongwa,B GT 0017519,DB 14729,Caryophyllales,Caryophyllaceae,Cerastium glutinosum,,
7336,R. Hand,B GT 0017574,DB 15425,Caryophyllales,Caryophyllaceae,Cerastium glutinosum,,
FJW-2016-0027,"Weicherding,F.-J.",B GT 0017872,DB 13217,Caryophyllales,Caryophyllaceae,Cerastium glutinosum,,
36234,K. P. Buttler,B GT 0018608,DB 14878,Caryophyllales,Caryophyllaceae,Cerastium glutinosum,,
FJW-2014-0004,"Weicherding,F.-J.",B GT 0018348,DB 14330,Caryophyllales,Caryophyllaceae,Cerastium holosteoides,,
RH 7892,"Hand,R. & Niederbichler,C.",B GT 0014738,DB 12957,Caryophyllales,Caryophyllaceae,Cerastium latifolium,,
5081,"Thiv,M.",B GT 0018309,DB 13543,Caryophyllales,Caryophyllaceae,Cerastium pumilum,,
7314,R. Hand,B GT 0017552,DB 15421,Caryophyllales,Caryophyllaceae,Cerastium semidecandrum,,
36233,K. P. Buttler,B GT 0018609,DB 14877,Caryophyllales,Caryophyllaceae,Cerastium semidecandrum,,
8127,R. Hand,B GT 0021247,DB 15230,Caryophyllales,Caryophyllaceae,Cerastium semidecandrum,,
PC 229,"Ciongwa,P.",B GT 0021396,DB 14371,Caryophyllales,Caryophyllaceae,Cerastium tomentosum,,
8968,R. Hand,B GT 0024839,DB 14958,Caryophyllales,Caryophyllaceae,Cochlearia danica,,
RH 8500,"Hand,R. & John,H.",B GT 0018824,DB 13694,Caryophyllales,Caryophyllaceae,Dianthus armeria,,
8297,"Hand,R.",B GT 0021295,DB 13582,Caryophyllales,Caryophyllaceae,Dianthus carthusianorum,,
FJW-2017-0014,F.-J. Weicherding,B GT 0021649,DB 30756,Caryophyllales,Caryophyllaceae,Dianthus carthusianorum,,
WEM069,W. Melenk (GBOL-Bioblitz 2017),B GT 0021907,DB 15675,Caryophyllales,Caryophyllaceae,Dianthus carthusianorum,,
FJW-2014-0085,"Weicherding,F.-J.",B GT 0014649,DB 26829,Caryophyllales,Caryophyllaceae,Dianthus giganteus,Gewebe fehlt; Tüte Aufsammlung nicht vorhanden,
,,B GT 0024751,DB 14990,Caryophyllales,Caryophyllaceae,Dianthus gratianopolitanus,,
9056,R. Hand,B GT 0024850,DB 15036,Caryophyllales,Caryophyllaceae,Dianthus gratianopolitanus,,
20182411,G. Schepers,B GT 0024631,DB 15382,Caryophyllales,Caryophyllaceae,Dianthus superbus,,
RH 7792,"Hand,R., Busl,F. & Niederbichler,C.",B GT 0017009,DB 12873,Caryophyllales,Caryophyllaceae,Dianthus sylvaticus,,
9149,R. Hand 9149 & M. Berghofer,B GT 0024969,DB 15073,Caryophyllales,Caryophyllaceae,Dianthus sylvestris,,
8581,"Hand,R.",B GT 0018905,DB 13748,Caryophyllales,Caryophyllaceae,Gypsophila muralis,,
2018-14,R. Mause,B GT 0024287,DB 15793,Caryophyllales,Caryophyllaceae,Gypsophila muralis,,
8068,"Hand,R.",B GT 0017854,DB 13118,Caryophyllales,Caryophyllaceae,Gypsophila perfoliata,,
PC 234,"Ciongwa,P.",B GT 0021391,DB 14375,Caryophyllales,Caryophyllaceae,Herniaria glabra,,
2669,O. Appel,B GT 0021989,DB 30983,Caryophyllales,Caryophyllaceae,Herniaria glabra,,
8838,"Hand,R.",B GT 0021170,DB 13891,Caryophyllales,Caryophyllaceae,Herniaria hirsuta,,
