species,family,order,has_specimen,trnLF completed?,ITS completed?,rpl16 completed?,trnK-matK completed?
Diphasiastrum alpinum,Lycopodiaceae,Lycopodiales,true,true,false,true,true
Diphasiastrum complanatum,Lycopodiaceae,Lycopodiales,true,true,false,true,true
Diphasiastrum tristachyum,Lycopodiaceae,Lycopodiales,true,true,false,true,true
Diphasiastrum x zeilleri,Lycopodiaceae,Lycopodiales,true,true,false,true,true
Huperzia selago,Lycopodiaceae,Lycopodiales,true,true,false,true,true
Lycopodiella inundata,Lycopodiaceae,Lycopodiales,true,true,false,true,false
Lycopodium annotinum,Lycopodiaceae,Lycopodiales,true,true,false,true,true
Lycopodium clavatum,Lycopodiaceae,Lycopodiales,true,true,false,true,true
Selaginella helvetica,Selaginellaceae,Selaginellales,false,false,false,false,false
Equisetum arvense,Equisetaceae,Equisetales,true,true,false,true,true
Equisetum fluviatile,Equisetaceae,Equisetales,true,true,false,true,true
Equisetum hyemale,Equisetaceae,Equisetales,true,true,false,false,true
Equisetum palustre,Equisetaceae,Equisetales,true,false,false,false,false
Equisetum pratense,Equisetaceae,Equisetales,true,true,false,true,true
Equisetum sylvaticum,Equisetaceae,Equisetales,true,true,false,true,true
Equisetum telmateia,Equisetaceae,Equisetales,true,true,false,true,true
Equisetum variegatum,Equisetaceae,Equisetales,true,true,false,true,true
Equisetum x moorei,Equisetaceae,Equisetales,true,true,false,false,true
Hymenophyllum tunbrigense,Hymenophyllaceae,Hymenophyllales,false,false,false,false,false
Trichomanes speciosum,Hymenophyllaceae,Hymenophyllales,false,false,false,false,false
Botrychium lunaria,Ophioglossaceae,Ophioglossales,true,true,false,true,true
Botrychium simplex,Ophioglossaceae,Ophioglossales,false,false,false,false,false
Botrychium virginianum,Ophioglossaceae,Ophioglossales,false,false,false,false,false
Ophioglossum vulgatum,Ophioglossaceae,Ophioglossales,true,true,false,true,true
Osmunda regalis,Osmundaceae,Osmundales,true,true,false,true,false
Asplenium adiantum-nigrum,Aspleniaceae,Polypodiales,true,true,false,true,false
Asplenium ceterach,Aspleniaceae,Polypodiales,true,true,false,true,false
Asplenium fissum,Aspleniaceae,Polypodiales,false,false,false,false,false
Asplenium fontanum,Aspleniaceae,Polypodiales,true,true,false,true,false
Asplenium ruta-muraria,Aspleniaceae,Polypodiales,true,true,false,true,false
Asplenium scolopendrium,Aspleniaceae,Polypodiales,true,true,false,true,false
Asplenium seelosii,Aspleniaceae,Polypodiales,false,false,false,false,false
Asplenium viride,Aspleniaceae,Polypodiales,true,true,false,true,false
Cystopteris montana,Woodsiaceae,Polypodiales,true,true,false,true,false
